,LocID,Location,PopTotal
256420,2036,UNICEF Regions: East Asia and Pacific,2389387.29
256571,2034,UNICEF Regions: Eastern Europe and Central Asia,426819.902
256722,2039,UNICEF Regions: Eastern and Southern Africa,589624.762
256873,2029,UNICEF Regions: Europe and Central Asia,924612.983
257024,2031,UNICEF Regions: Latin America and Caribbean,653962.332
257175,2037,UNICEF Regions: Middle East and North Africa,463374.954
257326,2032,UNICEF Regions: North America,368869.644
257477,2038,UNICEF Regions: South Asia,1856376.652
257628,2033,UNICEF Regions: Sub-Saharan Africa,1138214.874
257779,2040,UNICEF Regions: West and Central Africa,548590.112
257930,2030,UNICEF Regions: Western Europe,497793.081
258081,1822,UNITED NATIONS Regional Groups of Member States,7789099.185
258232,800,Uganda,45741
259116,804,Ukraine,43733.759
260000,784,United Arab Emirates,9890.4
260884,826,United Kingdom,67886.004
261768,1110,United Kingdom (and dependencies),68405.089
261919,1730,United Nations Economic Commission for Africa (UN-ECA),1338826.591
262070,1745,United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),653958.849
262221,1760,United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4627631.561
262372,1599,United Nations Member States,7789099.174
262523,834,United Republic of Tanzania,59734.213
263407,850,United States Virgin Islands,104.423
264291,840,United States of America,331002.647
265175,1111,United States of America (and dependencies),334249.447
265326,1502,Upper-middle-income countries,2654816.331
266210,858,Uruguay,3473.727
267094,860,Uzbekistan,33469.199
267978,548,Vanuatu,307.15
268862,862,Venezuela (Bolivarian Republic of),28435.943
269746,704,Viet Nam,97338.583
270630,1509,WB region: East Asia and Pacific (excluding high income),2142225.999
270781,1510,WB region: Europe and Central Asia (excluding high income),422714.634
270932,1511,WB region: Latin America and Caribbean (excluding high income),575044.612
271083,1512,WB region: Middle East and North Africa (excluding high income),396445.99
271234,1513,WB region: South Asia (excluding high income),1856376.652
271385,1508,WB region: Sub-Saharan Africa (excluding high income),1135954.34
271536,1820,WHO Regions,7750010.916
271687,1593,WHO: African region (AFRO),1120161.235
271838,1596,WHO: Americas (AMRO),1018121.127
271989,1595,WHO: Eastern Mediterranean Region (EMRO),725720.786
272140,1594,WHO: European Region (EURO),932888.131
272291,1597,WHO: South-East Asia region (SEARO),2021386.63
272442,1598,WHO: Western Pacific region (WPRO),1931733.007
272593,876,Wallis and Futuna Islands,11.246
273477,1543,West African Economic and Monetary Union (UEMOA),130852.886
273628,914,Western Africa,401861.255
274512,922,Western Asia,279636.774
275396,926,Western Europe,196146.321
276280,1827,Western European and Others Group (WEOG),923721.644
276431,732,Western Sahara,597.33
277315,900,World,7794798.729
278199,1801,World Bank Regional Groups (developing only),6528762.227
278350,887,Yemen,29825.968
279234,894,Zambia,18383.956
280118,716,Zimbabwe,14862.927
